id,title,img,size,price,reviews,rating
303438042,World's Cellar Cathedral Cove Merlot Cabernet - Case,//sg-live-01.slatic.net/p/09fb0dbc88054dcfa4bd783e2a8a22ce.jpg,6 Ã— 750 ml,118.00$,16,4.875
303608381,World's Cellar Pampre-Matin Chardonnay,//sg-live-01.slatic.net/p/3dd58bb010d2943cc0809a197275159e.jpg,750 ml,22.00$,6,5.0
303424704,World's Cellar Chateau Gillet Bordeaux Red Wine - Case,//sg-live-01.slatic.net/p/630755c2b2e990856485a06b1cb70fd6.jpg,6 Ã— 750 ml,135.00$,37,4.45945945945946
303436507,World's Cellar Chateau Gillet Bordeaux Red Wine,//sg-live-01.slatic.net/p/5b39d5977da00372b360f9bd99af126e.jpg,750 ml,23.00$,144,4.743055555555555
303400907,World's Cellar Cathedral Cove Marlborough Sauvignon Blanc,//sg-live-01.slatic.net/p/0326a85b0d952ec033de988258695b88.jpg,750 ml,20.50$,40,4.7
303424235,World's Cellar Cathedral Cove Marlborough Sauvignon Blanc 2017 - Case,//sg-live-01.slatic.net/p/f37fd2227b6adfb4b5eb79bb405c609d.jpg,6 Ã— 750 ml,118.00$,21,4.285714285714286
304000670,World's Cellar Champagne Brut (Case),//sg-live-01.slatic.net/p/2be0a779974b4a87c8d2436b8cc18337.jpg,6 Ã— 750 ml,288.80$,7,4.428571428571429
303686038,World's Cellar PengWine Chilean Rose Wine,//sg-live-01.slatic.net/p/33e5e97abe1c1e99b394462b70312c0f.jpg,750 ml,22.00$,20,4.25
304028037,World's Cellar Champagne Brut,//sg-live-01.slatic.net/p/81b349150882b655ce300cec012b6f98.jpg,750 ml,48.80$,12,4.666666666666667
303418387,World's Cellar Cathedral Cove Merlot Cabernet,//sg-live-01.slatic.net/p/30c6fa6d6d09a88f45ec455b79e5e194.jpg,750 ml,20.50$,26,4.730769230769231
303444357,World's Cellar Diamants de Provence Rose,//sg-live-01.slatic.net/p/6260d7ec504f5422c69052d337d8a14f.jpg,750 ml,24.00$,22,4.590909090909091
539874560,World's Cellar Bourgogne Tonnerre Blanc Parc du Chateau White Wine,//sg-live-01.slatic.net/p/1de127c7a40d99aa02c8b378b5613eba.jpg,750 ml,40.00$,,
539894331,World's Cellar Chateau Croix du Bailli Montagne Saint-Emilion Red Wine,//sg-live-01.slatic.net/p/bf04fa9dbbb837587e368db9c7eefae2.jpg,750 ml,40.00$,1,5.0
303436509,World's Cellar Diamants de Provence Rose de Provence - Case,//sg-live-01.slatic.net/p/51fdb3602f055c319882fa4168d33060.jpg,6 Ã— 750 ml,140.00$,10,4.9
303660741,World's Cellar PengWine Chilean Cabernet Sauvignon Red Wine,//sg-live-01.slatic.net/p/c463264ad7a21357567e895a60cfa00d.jpg,750 ml,22.00$,28,4.714285714285714
301166212,RedMart Freshly Made Wholemeal Flatbread,//sg-live-01.slatic.net/p/8d087c8fc2315c86dfbfe28c51939e65.jpg,4 per pack,5.50$,65,4.8307692307692305
301176273,RedMart Ciabatta Buns 4's,//sg-live-01.slatic.net/p/837848040cdcb8500151763d0da8eebb.jpg,400 g,6.35$,12,4.0
301184227,RedMart Swiss Country Bread,//sg-live-01.slatic.net/p/8d753a3728e4ddcbbebc3118e26d8543.jpg,450 g,6.75$,147,4.510204081632653
301202003,RedMart White Artisan Bread,//sg-live-01.slatic.net/p/4b48bece654e6b439753143ab70129ac.jpg,400 g,5.80$,8,4.25
301164291,RedMart Wholemeal Artisan Bread,//sg-live-01.slatic.net/p/1a6998d851be008d587da2de4ef4ca22.jpg,400 g,5.80$,32,4.4375
303058516,RedMart Focaccia With Olives,//sg-live-01.slatic.net/p/4938203c1cced093dc028492d752424e.jpg,2 Ã— 175 g,4.50$,19,4.7894736842105265
303078162,RedMart Focaccia With Herbs,//sg-live-01.slatic.net/p/6ad85b3b5bfccfcdc36163869db40f09.jpg,2 Ã— 175 g,4.50$,220,4.759090909090909
301154950,RedMart 100-Percent Natural Flour Tortillas/Wraps,//sg-live-01.slatic.net/p/9b47a3a6e633ec0f081a80a6dd1105fe.jpg,6 per pack,4.99$,15,3.933333333333333
327892719,RedMart Ladi Pav (Slider Bun),//sg-live-01.slatic.net/p/e09cb5670336ba3e4a13190cb7738453.jpg,260 g,4.10$,391,4.570332480818414
582356315,RedMart Sourdough White Sliced Loaf,//sg-live-01.slatic.net/p/542bfbf3353229bf8a9915eb30666cc2.jpg,600 g,7.50$,126,4.444444444444445
582380050,RedMart Sourdough Seeded Sliced Loaf,//sg-live-01.slatic.net/p/660d16f97fcefaa9d221699387dcf786.jpg,600 g,7.50$,260,4.569230769230769
304450331,RedMart Sliced White Bread,//sg-live-01.slatic.net/p/40f7b2672c22e18056a3bc4f80f11e1d.jpg,330 g,1.90$,126,4.484126984126984
304462030,RedMart Sliced Wholemeal Bread,//sg-live-01.slatic.net/p/a7809ed224da91834393765ef7f5b3b7.jpg,330 g,2.10$,253,4.351778656126482
301170258,RedMart Sesame Hamburger Buns 4's,//sg-live-01.slatic.net/p/5cafc6b52e0af55e447731147b498ed0.jpg,320 g,4.80$,81,4.481481481481482
301184226,RedMart German Multigrain Roll 6's,//sg-live-01.slatic.net/p/c02e0e2dd927cd3e37b483ae0c991661.jpg,360 g,6.45$,127,4.283464566929134
